time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-27T20:38:18.248Z,60.2372,-138.2327,9.2,3.5,ml,,,,0.6,ak,ak02318zn83a,2023-01-27T21:33:23.008Z,"Southern Yukon Territory, Canada",earthquake,,0.3,,,reviewed,ak,ak
2023-01-27T20:25:27.038Z,10.7145,125.4476,69.238,5.4,mww,190,26,3.624,0.84,us,us6000jjtj,2023-01-27T21:08:40.988Z,"32 km ENE of Hingatungan, Philippines",earthquake,7.83,5.358,0.066,22,reviewed,us,us
2023-01-27T18:55:57.550Z,51.5054,-175.733,32.5,3.9,ml,,,,0.31,ak,ak02318yk2x4,2023-01-27T19:43:19.592Z,"74 km ESE of Adak, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2023-01-27T18:35:55.022Z,52.2487,-170.417,28.1,3.6,ml,,,,0.7,ak,ak02318yfslg,2023-01-27T19:47:29.449Z,"130 km SW of Nikolski, Alaska",earthquake,,1.7,,,reviewed,ak,ak
2023-01-27T18:18:41.778Z,62.979,-150.5749,95.6,2.5,ml,,,,0.66,ak,ak02318yc4as,2023-01-27T18:20:58.097Z,"54 km N of Petersville, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-01-27T18:18:00.454Z,-2.8446,129.6184,20.664,4.7,mb,92,62,2.628,0.6,us,us6000jjsz,2023-01-27T20:31:54.040Z,"95 km NE of Amahai, Indonesia",earthquake,4.25,4.631,0.066,78,reviewed,us,us
2023-01-27T17:09:00.233Z,56.4961,-152.1692,7.3,2.5,ml,,,,0.64,ak,ak02318xokyu,2023-01-27T20:17:27.040Z,"104 km SE of Old Harbor, Alaska",earthquake,,22.7,,,reviewed,ak,ak
2023-01-27T16:47:48.460Z,19.2428340911865,-155.404006958008,30.8700008392334,2.47,ml,45,133,,0.129999995,hv,hv73313997,2023-01-27T21:09:38.061Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.53,0.660000026,2.58,8,automatic,hv,hv
2023-01-27T16:37:39.419Z,-23.7222,-179.4605,525.778,4.6,mb,33,122,4.686,0.53,us,us6000jjsa,2023-01-27T17:00:08.040Z,"south of the Fiji Islands",earthquake,16.53,18.134,0.1,30,reviewed,us,us
2023-01-27T16:34:56.920Z,18.1241666666667,-67.0316666666667,13.97,3.02,md,9,106,0.1386,0.21,pr,pr71394653,2023-01-27T17:11:03.661Z,"4 km NNE of San Germán, Puerto Rico",earthquake,0.68,2.49,0.0938167075783007,4,reviewed,pr,pr
2023-01-27T16:33:28.276Z,-23.3301,-179.8864,528.172,4.5,mb,28,115,4.841,0.64,us,us6000jjs9,2023-01-27T17:14:45.040Z,"south of the Fiji Islands",earthquake,14.76,10.621,0.118,21,reviewed,us,us
2023-01-27T15:39:49.730Z,19.6534996032715,-155.964660644531,23.7199993133545,2.75,ml,41,227,,0.180000007,hv,hv73313957,2023-01-27T21:13:36.378Z,"3 km ENE of Kailua-Kona, Hawaii",earthquake,0.72,1.63,4.03,9,automatic,hv,hv
